DATE,REG,FLTS,YEAR,ROLL_MED_7
2023-08-25,BRA,5545,2023,5280
2023-08-26,BRA,4179,2023,5138
2023-08-27,BRA,4094,2023,5138
2023-08-28,BRA,4844,2023,5138
2023-08-29,BRA,5138,2023,5138
2023-08-30,BRA,5295,2023,5138
2023-08-31,BRA,5496,2023,5138
2023-09-01,BRA,5800,2023,5138
2023-09-02,BRA,4258,2023,5211
2023-09-03,BRA,4314,2023,5211
2023-09-04,BRA,5038,2023,5074
2023-09-05,BRA,5211,2023,5038
2023-09-06,BRA,5742,2023,5038
2023-09-07,BRA,5074,2023,5074
2023-09-08,BRA,3968,2023,5211
2023-09-09,BRA,3687,2023,5230
2023-09-10,BRA,5230,2023,5090
2023-09-11,BRA,5393,2023,5230
2023-09-12,BRA,5454,2023,5300
2023-09-13,BRA,5090,2023,5300
2023-09-14,BRA,5300,2023,5300
2023-09-15,BRA,5630,2023,5205
2023-09-16,BRA,4621,2023,5107
2023-09-17,BRA,4833,2023,5205
2023-09-18,BRA,5205,2023,5205
2023-09-19,BRA,5107,2023,5205
2023-09-20,BRA,5505,2023,5205
2023-09-21,BRA,5664,2023,5205
2023-09-22,BRA,5833,2023,5107
2023-09-23,BRA,4483,2023,5129
2023-09-24,BRA,4479,2023,5058
2023-09-25,BRA,5058,2023,5058
2023-09-26,BRA,5129,2023,5058
2023-09-27,BRA,5027,2023,5058
2023-09-28,BRA,5423,2023,5058
2023-09-29,BRA,5523,2023,5027
2023-09-30,BRA,4414,2023,5009
2023-10-01,BRA,4132,2023,4971
2023-10-02,BRA,4909,2023,4971
2023-10-03,BRA,5009,2023,4971
2023-10-04,BRA,4971,2023,4971
2023-10-05,BRA,5355,2023,4971
2023-10-06,BRA,5493,2023,4971
2023-10-07,BRA,4368,2023,4971
2023-10-08,BRA,4079,2023,5355
2023-10-09,BRA,4967,2023,4967
2023-10-10,BRA,5519,2023,4844
2023-10-11,BRA,5988,2023,4844
2023-10-12,BRA,4844,2023,4967
2023-10-13,BRA,3754,2023,5107
2023-10-14,BRA,3602,2023,4913
2023-10-15,BRA,5107,2023,4913
2023-10-16,BRA,5212,2023,5107
2023-10-17,BRA,4913,2023,5212
2023-10-18,BRA,5390,2023,5212
2023-10-19,BRA,5489,2023,5212
2023-10-20,BRA,5541,2023,5228
2023-10-21,BRA,4713,2023,5228
2023-10-22,BRA,4476,2023,5228
2023-10-23,BRA,5228,2023,5228
2023-10-24,BRA,5178,2023,5184
2023-10-25,BRA,5340,2023,5184
2023-10-26,BRA,5382,2023,5184
2023-10-27,BRA,5184,2023,5178
2023-10-28,BRA,4217,2023,5061
2023-10-29,BRA,4226,2023,5061
2023-10-30,BRA,5061,2023,4998
2023-10-31,BRA,4998,2023,4882
2023-11-01,BRA,5428,2023,4882
2023-11-02,BRA,4882,2023,4998
2023-11-03,BRA,4019,2023,4998
2023-11-04,BRA,4040,2023,5202
2023-11-05,BRA,5202,2023,5202
2023-11-06,BRA,5586,2023,5416
2023-11-07,BRA,5416,2023,5577
2023-11-08,BRA,5647,2023,5577
2023-11-09,BRA,5577,2023,5577
2023-11-10,BRA,5870,2023,5416
2023-11-11,BRA,4790,2023,5017
2023-11-12,BRA,4433,2023,5006
2023-11-13,BRA,4910,2023,5005
2023-11-14,BRA,5017,2023,5005
2023-11-15,BRA,5006,2023,5005
2023-11-16,BRA,5005,2023,5005
2023-11-17,BRA,5202,2023,5006
2023-11-18,BRA,4371,2023,5006
2023-11-19,BRA,4235,2023,5085
2023-11-20,BRA,5085,2023,5202
2023-11-21,BRA,5495,2023,5218
2023-11-22,BRA,5218,2023,5218
2023-11-23,BRA,5291,2023,5218
2023-11-24,BRA,5439,2023,5218
2023-11-25,BRA,4608,2023,4992
2023-11-26,BRA,4401,2023,4992
2023-11-27,BRA,4992,2023,4992
2023-11-28,BRA,4915,2023,4992
2023-11-29,BRA,5244,2023,4992
2023-11-30,BRA,5648,2023,4992
2023-12-01,BRA,5949,2023,5049
2023-12-02,BRA,4632,2023,5244
2023-12-03,BRA,4462,2023,5306
2023-12-04,BRA,5049,2023,5306
