APT,DATE,PHASE,N_VALID,N_VALID_MONTH,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-16]","(-16,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
SBBR,2019-02-23,DEP,60102,4822,0,0,0,0,0,0,0,0,0,1,5,46,40,22,9,2,5,4,1,2,2,1,1,1,1,2
SBBR,2019-02-24,ARR,59999,4829,0,0,0,0,0,1,0,4,12,13,24,26,13,8,6,4,5,4,3,2,0,0,0,1,0,0
SBBR,2019-02-24,DEP,60102,4822,0,0,0,0,0,0,0,0,0,0,8,41,24,17,7,8,3,4,1,3,1,2,1,1,0,3
SBBR,2019-02-25,ARR,59999,4829,0,0,0,0,0,1,3,6,13,14,27,26,27,17,15,7,6,7,5,3,3,0,1,3,0,4
SBBR,2019-02-25,DEP,60102,4822,0,0,0,0,0,0,0,0,0,0,7,51,51,25,21,8,10,3,3,1,2,3,0,2,2,3
SBBR,2019-02-26,ARR,59999,4829,0,0,0,0,0,1,2,2,8,6,35,24,15,22,7,11,7,13,5,3,5,2,3,4,0,14
SBBR,2019-02-26,DEP,60102,4822,0,0,0,0,0,0,0,0,0,0,8,31,47,21,13,16,13,5,9,5,4,2,1,0,0,6
SBBR,2019-02-27,ARR,59999,4829,0,0,0,0,0,0,0,5,11,15,43,24,23,14,15,7,7,4,4,4,2,2,2,0,1,8
SBBR,2019-02-27,DEP,60102,4822,0,0,0,0,0,0,0,0,0,0,3,31,50,24,14,20,7,10,4,6,2,1,0,4,1,10
SBBR,2019-02-28,ARR,59999,4829,0,0,0,0,0,0,1,3,14,18,24,28,23,13,16,6,7,6,4,5,5,2,2,1,3,4
SBBR,2019-02-28,DEP,60102,4822,0,0,0,0,0,0,0,0,0,0,3,30,48,29,19,18,13,7,4,3,3,3,1,0,2,3
SBBR,2019-03-01,ARR,59999,5137,0,0,0,0,0,0,1,3,7,10,33,35,20,14,19,9,9,8,3,5,0,2,5,1,0,5
SBBR,2019-03-01,DEP,60102,5147,0,0,0,0,0,0,0,1,0,0,3,19,38,35,19,18,13,11,1,7,5,2,3,3,0,13
SBBR,2019-03-02,ARR,59999,5137,0,0,0,0,0,0,0,3,14,8,28,15,13,15,3,8,6,3,4,1,3,1,1,3,1,17
SBBR,2019-03-02,DEP,60102,5147,0,0,0,0,0,0,0,0,0,0,4,18,29,16,11,12,6,6,10,6,4,3,2,2,1,15
SBBR,2019-03-03,ARR,59999,5137,0,0,0,0,0,0,1,5,9,14,21,13,10,6,4,1,4,0,2,1,0,1,0,0,0,5
SBBR,2019-03-03,DEP,60102,5147,0,0,0,0,0,0,0,0,0,0,8,23,30,11,2,4,2,2,0,1,1,3,2,1,1,3
SBBR,2019-03-04,ARR,59999,5137,0,0,0,0,0,0,1,3,21,12,29,14,10,10,1,3,3,3,0,1,0,0,0,0,1,7
SBBR,2019-03-04,DEP,60102,5147,0,0,0,0,0,0,0,0,0,0,12,34,36,17,9,3,2,3,1,0,0,0,1,0,0,2
SBBR,2019-03-05,ARR,59999,5137,0,0,0,0,0,0,5,7,20,24,30,18,17,7,1,6,3,0,1,1,0,0,0,1,0,0
SBBR,2019-03-05,DEP,60102,5147,0,0,0,0,0,0,0,0,0,0,22,51,34,21,8,3,2,2,1,0,0,1,1,0,0,2
SBBR,2019-03-06,ARR,59999,5137,0,0,0,0,0,0,2,10,18,32,48,23,16,9,5,6,2,7,2,0,2,0,2,1,0,2
SBBR,2019-03-06,DEP,60102,5147,1,0,0,0,0,0,0,0,0,0,14,58,51,20,12,7,5,1,3,1,1,2,2,0,1,2
SBBR,2019-03-07,ARR,59999,5137,0,0,0,0,0,0,6,12,15,19,38,24,18,7,11,5,4,2,7,0,1,3,1,0,0,2
SBBR,2019-03-07,DEP,60102,5147,0,0,0,0,0,0,0,0,0,0,16,58,34,27,14,12,6,2,2,2,3,2,1,0,0,2
SBBR,2019-03-08,ARR,59999,5137,0,0,0,0,0,1,2,2,19,37,47,26,14,8,3,4,1,2,1,0,0,0,1,0,0,1
SBBR,2019-03-08,DEP,60102,5147,0,0,0,0,0,0,0,0,0,1,21,46,47,21,6,6,2,0,1,4,1,0,1,0,0,4
SBBR,2019-03-09,ARR,59999,5137,1,0,0,0,0,0,2,13,14,18,31,22,3,10,5,1,3,0,1,1,0,1,0,0,0,3
SBBR,2019-03-09,DEP,60102,5147,0,0,0,0,0,0,0,0,0,0,9,39,38,16,10,4,2,1,2,1,1,1,0,0,3,3
SBBR,2019-03-10,ARR,59999,5137,0,0,0,0,0,0,4,7,15,22,21,18,19,8,6,5,4,5,0,0,0,0,0,0,0,3
SBBR,2019-03-10,DEP,60102,5147,0,0,0,0,0,0,0,0,0,0,3,27,48,18,11,2,10,1,2,1,1,1,0,1,0,8
SBBR,2019-03-11,ARR,59999,5137,0,0,0,0,0,1,2,4,12,18,24,30,14,17,12,4,8,8,6,5,5,3,1,3,1,10
SBBR,2019-03-11,DEP,60102,5147,0,0,0,0,0,0,0,0,0,0,8,39,55,27,12,9,10,5,4,3,4,4,1,0,2,4
SBBR,2019-03-12,ARR,59999,5137,0,0,0,0,0,1,2,7,12,12,35,28,21,15,10,8,5,4,0,5,5,1,1,1,0,15
SBBR,2019-03-12,DEP,60102,5147,0,0,0,0,0,0,0,0,0,1,7,31,50,30,16,7,6,7,8,5,3,1,1,3,1,13
SBBR,2019-03-13,ARR,59999,5137,0,0,0,0,0,0,2,6,15,19,31,34,24,22,13,2,7,5,1,0,0,3,0,2,2,3
SBBR,2019-03-13,DEP,60102,5147,0,0,0,0,0,0,0,0,0,0,5,27,55,32,20,21,8,7,4,0,2,1,1,0,0,7
SBBR,2019-03-14,ARR,59999,5137,0,0,0,0,0,0,4,2,17,21,35,30,19,15,9,5,5,5,0,2,2,1,1,2,1,4
SBBR,2019-03-14,DEP,60102,5147,0,0,0,0,0,0,0,0,0,0,8,35,56,36,14,2,1,5,3,1,4,2,5,0,3,10
SBBR,2019-03-15,ARR,59999,5137,0,0,0,0,0,0,1,8,12,15,35,23,19,22,16,9,3,5,2,8,3,0,3,2,2,7
SBBR,2019-03-15,DEP,60102,5147,0,0,1,0,0,0,0,0,0,0,7,46,47,27,10,11,8,5,8,4,2,2,3,1,1,8
SBBR,2019-03-16,ARR,59999,5137,1,0,0,0,0,2,3,9,16,18,23,20,15,12,5,2,3,1,4,2,0,0,0,3,0,4
SBBR,2019-03-16,DEP,60102,5147,0,0,0,0,0,0,0,0,0,0,4,26,34,22,11,10,8,1,8,1,2,2,1,1,1,8
SBBR,2019-03-17,ARR,59999,5137,0,0,0,0,0,2,3,10,15,19,30,22,8,4,6,4,1,1,1,0,0,1,0,1,0,1
SBBR,2019-03-17,DEP,60102,5147,0,0,0,0,0,0,0,0,0,0,10,36,31,22,13,7,1,0,1,2,2,1,0,0,1,2
SBBR,2019-03-18,ARR,59999,5137,0,0,0,0,0,3,4,8,20,24,32,29,17,11,13,6,4,5,2,0,1,0,1,3,1,4
SBBR,2019-03-18,DEP,60102,5147,0,0,0,0,0,0,0,0,0,0,13,41,58,30,18,8,2,4,3,1,3,0,0,1,0,8
SBBR,2019-03-19,ARR,59999,5137,0,0,0,0,2,0,2,4,19,24,41,34,18,6,12,10,5,2,1,2,0,0,1,1,0,6
SBBR,2019-03-19,DEP,60102,5147,0,0,0,0,0,0,0,0,0,0,19,55,41,27,10,10,10,4,2,2,2,2,0,1,1,7
SBBR,2019-03-20,ARR,59999,5137,0,1,0,0,0,1,3,6,19,26,45,25,18,14,4,6,3,3,3,2,3,0,1,0,0,7
SBBR,2019-03-20,DEP,60102,5147,0,0,0,0,0,0,0,0,0,0,11,46,46,35,10,10,10,4,2,2,0,1,4,1,1,6
